"","dense.veg","dirt.litter","grass","gravel","ivy","mulch","water","impervious.sqft","pervious.sqft","total.area"
"14B",0.00423606411237924,0,0.00420893177859523,0,0.20952477358952,0.0480778114568517,0,0.733952419062654,0.266047580937346,1
"20E",0.0123511633197203,0.117547194980087,0.150215454057694,0,0.12995696880719,0.0500941458315676,0,0.539835073003741,0.460164926996259,1
"20M",0,0.202466572029067,0.18979007571276,0,0.00969821692339064,0.0325597743888425,0,0.565485360945939,0.434514639054061,1
"22E",0.0829471982577562,0.269642904878446,0,0,0,0.0731612648083775,0,0.574248632055421,0.425751367944579,1
"22M",0.0932684603716253,0.123546995231379,0.0941363667979463,0,0.0353488481214042,0.0025526434075016,0,0.651146686070143,0.348853313929856,1
"BM",0,0.00810890054787635,0.0330912336690835,0,0.0264670862519686,0.231176289408916,0,0.701156490122156,0.298843509877844,1
"CO",0.022051797366214,0.0160020314020213,0.0881869058400266,0,0.0606697207353073,0.100582648634455,0,0.712506896021976,0.287493103978024,1
"DE",0.00288819003349798,0.039285317844164,0.00596720387804904,0,0.0776031287965163,0.117704538986765,0,0.756551620461008,0.243448379538992,1
"EG",0.205014389711333,0.0544336969847403,0.00913669933842965,0,0,0.129691829665554,0.00533196703232085,0.596391417267622,0.403608582732378,1
"FC",0,0,0.0208544165098544,0,0,0.245340384345222,0,0.733805199144924,0.266194800855076,1
"FP",0.104163224227971,0.0790721182692279,0.0803642822590611,0.0126144356596521,0.0836203006095415,0.126442896347115,0,0.513722742627431,0.486277257372569,1
"I1",0,0,0.150233511190614,0,0,0.118901264059686,0,0.7308652247497,0.2691347752503,1
"I2",0,0,0.185021512608795,0,0,0.0305247391747928,0,0.784453748216412,0.215546251783588,1
"IB",0,0.00519508388571688,0,0,0,0.280412625161128,0,0.714392290953155,0.285607709046845,1
"MM",0,0.124378740793168,0.0139509078233781,0.00564044588456928,0.0736051591291716,0.23353598050381,0,0.548888765865903,0.451111234134097,1
"OP",0.00463453279404939,0,0.0525213246946445,0,0.138529433912193,0.0397473339623316,0,0.764567374636781,0.235432625363219,1
"PS",0,0.148647426848495,0.190966592834657,0,0,0.229970355493724,0,0.430415624823124,0.569584375176876,1
"RW",0.0182788468082425,0,0,0,0.0691161130236289,0.197556625863488,0.00822700926668663,0.706821405037954,0.293178594962046,1
"VV",0.0126574612540626,0,0.108811173802635,0,0.018556394019332,0.0447318359798827,0,0.815243134944087,0.184756865055913,1
"WR",0.047838597043119,0.00466847728485636,0.0781383915310267,0,0.126686892104556,0.0294067315086643,0,0.713260910527777,0.286739089472223,1
