"","Site","cleanup.y","cleanup.n","cleanup.unknown","herbicide.y","herbicide.n","herbicide.unknown","fertilizer.y","fertilizer.n","fertilizer.unknown","insecticide.y","insecticide.n","insecticide.unknown","fungicide.y","fungicide.n","fungicide.unknown","irrigation.y","irrigation.n","irrigation.unknown","mulch.y","mulch.n","mulch.unknown","mushroom.y","mushroom.n","mushroom.unknown","Snag.count","Stump.count","Log.count","Notes"
"1","14B",1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,"Many sticks at NE corner of property"
"2","20E",1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,6,2,"Many sticks on south side of property; lots of ivy on property; snag only about 6"" diameter"
"3","22E",0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,9,1,"nurse trees present here and at 2000; some trees mostly dead"
"4","BM",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,"also one small shrub stump; sprinklers on; recent mulch application on part of site"
"5","CO",1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,"no deadwood on site"
"6","DE",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,9,4,"also two 3"" logs"
"7","EG",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,6,7,0,"mulch recently applied (maybe 6/13-6/15; visited 6/16)"
"8","FC",1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,"two shrub stumps; recently extensively mulched; DF on W side & WRC on S side saplings.."
"9","FP",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,8,1,"guy doing spot weed killer applications; old mulch."
"10","I1",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,"recent blowdown"
"11","I2",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,""
"12","IB",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,14,2,""
"13","MM",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2,26,9,"Many sticks through E area and under big leaf maples. One snag is short, about 9 feet; there are a handful of stumps with spikes going up 6-8 feet."
"14","20M",1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,"recently had sprinklers run"
"15","22M",1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,4,2,0,"one large stump, one small; v little deadwood, all stumps are small diameter. Three quaking aspen and 1 red maple."
"16","OP",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,"mulch laid down recently in some areas; ivy wet--irrigation run?; shrubs trimmed recently. Partial snag, half of a poplar is dead. Also one tiny shrub stump."
"17","PS",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,2,26,13,"logs etc. cleaned up and relegated to one area. Lawn recently mowed."
"18","PSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"19","RW",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,""
"20","VV",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,"almost no deadwood on site--few native conifers"
"21","WR",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3,2,"5 shrub stumps"
"22","WRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
