"","Site","height.m.mean","height.m.median","CBH.m.mean","CBH.m.median","DBH.in.mean","DBH.in.median","stand.predate.development","Snag.count","Stump.count","Log.count","Notes","dead.wood","Cleanup","Herbicide","Fertilizer","Insecticide","Fungicide","Irrigation","Mulch","Mushroom"
"1","14B",18.32,18.4,1.12,1.1,14.02,13.2,"no",1,1,1,"Many sticks at NE corner of property",3,"yes","yes","unknown","unknown","unknown","unknown","yes","no"
"2","20E",35.6,35.6,2.22,2.2,27.84,27.1,"yes",1,6,2,"Many sticks on south side of property; lots of ivy on property; snag only about 6"" diameter",9,"yes","no","no","no","no","no","no","no"
"3","20M",19.92,20.4,1.14,1.1,14.16,13.7,"no",0,1,0,"recently had sprinklers run",1,"yes","yes","no","no","no","yes","yes","no"
"4","22E",30.66,32,1.76,1.9,22.1,24,"yes",1,9,1,"nurse trees present here and at 2000; some trees mostly dead",11,"no","unknown","unknown","unknown","unknown","no","no","no"
"5","22M",39.04,40,2.34,2.4,29.04,29.6,"yes",4,2,0,"one large stump, one small; v little deadwood, all stumps are small diameter. Three quaking aspen and 1 red maple.",6,"yes","yes","no","no","no","yes","yes","no"
"6","BM",38.96,38.6,2.04,1.8,25.74,23.1,"yes",0,1,0,"also one small shrub stump; sprinklers on; recent mulch application on part of site",1,"yes","yes","yes","no","no","no","yes","no"
"7","CO",17.68,21,1,1.1,12.7,14.3,"no",0,0,0,"no deadwood on site",0,"yes","unknown","yes","no","no","yes","yes","yes"
"8","DE",29,28.6,1.38,1.4,17.54,17.5,"yes",0,9,4,"also two 3"" logs",13,"yes","no","yes","no","no","yes","yes","unknown"
"9","EG",32.48,31.6,1.58,1.5,19.96,18.9,"yes",6,7,0,"mulch recently applied (maybe 6/13-6/15; visited 6/16)",13,"yes","yes","yes","no","no","yes","yes","yes"
"10","FC",27.28,32.8,1.7,2.3,21.36,29,"no",0,0,0,"two shrub stumps; recently extensively mulched; DF on W side & WRC on S side saplings..",0,"yes","unknown","yes","unknown","unknown","yes","yes","unknown"
"11","FP",39.36,39.8,2.3,2.3,28.72,28.5,"yes",0,8,1,"guy doing spot weed killer applications; old mulch.",9,"yes","yes","yes","no","no","yes","yes","yes"
"12","I1",0,0,0,0,0,0,"no",0,0,1,"recent blowdown",1,"yes","yes","yes","no","no","yes","yes","unknown"
"13","I2",0,0,0,0,0,0,"no",0,0,0,"",0,"yes","yes","yes","no","no","yes","yes","unknown"
"14","IB",27,27.6,1.74,2,21.74,25.5,"yes",0,14,2,"",16,"yes","yes","yes","no","no","yes","yes","no"
"15","MM",34.44,35.2,2,1.9,25.14,24.4,"yes",2,26,9,"Many sticks through E area and under big leaf maples. One snag is short, about 9 feet; there are a handful of stumps with spikes going up 6-8 feet.",37,"yes","yes","yes","no","no","yes","yes","yes"
"16","OP",24.4,25,1.38,1.4,17.5,17.3,"no",0,0,0,"mulch laid down recently in some areas; ivy wet--irrigation run?; shrubs trimmed recently. Partial snag, half of a poplar is dead. Also one tiny shrub stump.",0,"yes","yes","yes","no","no","yes","yes","no"
"17","PS",39.6,40.6,2.28,2.5,28.46,30.9,"yes",2,26,13,"logs etc. cleaned up and relegated to one area. Lawn recently mowed.",41,"yes","no","yes","no","no","yes","no","yes"
"18","RW",25.88,25.8,1.52,1.6,18.8,19.9,"yes",0,1,0,"",1,"yes","no","yes","no","no","yes","yes","unknown"
"19","VV",7.16,0,0.58,0,7.34,0,"no",0,2,0,"almost no deadwood on site--few native conifers",2,"yes","yes","yes","no","no","yes","yes","yes"
"20","WR",24.4,23.4,1.44,1.4,18.02,17.5,"yes",0,3,2,"5 shrub stumps",5,"yes","yes","yes","no","no","yes","yes","unknown"
