"","SiteName","tree.cluster","shrub.cluster","tree.cluster.name","shrub.cluster.name","vegetation_class"
"1","14B",1,1,"Native","Cultivated","LL"
"2","20E",1,2,"Native","Native","HH"
"3","20M",2,1,"Ornamental Deciduous","Cultivated","MM"
"4","22E",1,2,"Native","Native","HH"
"5","22M",1,2,"Native","Native","HH"
"6","BM",1,1,"Native","Cultivated","MC"
"7","CO",2,2,"Ornamental Deciduous","Native","MM"
"8","DE",2,1,"Ornamental Deciduous","Cultivated","MD"
"9","EG",1,2,"Native","Native","MD"
"10","FC",2,2,"Ornamental Deciduous","Native","MD"
"11","FP",1,2,"Native","Native","MC"
"12","I1",2,1,"Ornamental Deciduous","Cultivated","LL"
"13","I2",2,1,"Ornamental Deciduous","Cultivated","LL"
"14","IB",1,1,"Native","Cultivated","HH"
"15","MM",1,2,"Native","Native","HH"
"16","OP",2,1,"Ornamental Deciduous","Cultivated","LL"
"17","PS",1,1,"Native","Cultivated","MC"
"18","RW",1,2,"Native","Native","MD"
"19","VV",2,1,"Ornamental Deciduous","Cultivated","LL"
"20","WR",2,1,"Ornamental Deciduous","Cultivated","MM"
